2025-03-17 17:03:29,201 - INFO - Scraped 2 posts for keyword 'nha khoa'
2025-03-17 17:03:31,756 - INFO - Browser closed
2025-03-17 17:07:08,955 - INFO - Ads scraper initialized
2025-03-17 17:07:18,807 - INFO - Ads Scraped
2025-03-17 17:07:18,888 - INFO - Ads Scraped
2025-03-17 17:07:23,409 - INFO - Scraped 2 posts for keyword 'thẫm mỹ'
2025-03-17 17:07:32,757 - INFO - Ads Scraped
2025-03-17 17:07:32,853 - INFO - Ads Scraped
2025-03-17 17:07:35,777 - INFO - Scraped 2 posts for keyword 'nha khoa'
2025-03-17 17:07:38,306 - INFO - Browser closed
2025-03-17 17:07:47,442 - INFO - Ads scraper initialized
2025-03-17 17:07:57,519 - INFO - Ads Scraped
2025-03-17 17:07:57,581 - INFO - Ads Scraped
2025-03-17 17:08:00,005 - INFO - Scraped 2 posts for keyword 'thẫm mỹ'
2025-03-17 17:08:08,792 - INFO - Ads Scraped
2025-03-17 17:08:08,875 - INFO - Ads Scraped
2025-03-17 17:08:11,513 - INFO - Scraped 2 posts for keyword 'nha khoa'
2025-03-17 17:08:14,047 - INFO - Browser closed
2025-03-17 17:10:21,884 - INFO - Ads scraper initialized
2025-03-17 17:10:32,336 - INFO - Ads Scraped
2025-03-17 17:10:32,396 - INFO - Ads Scraped
2025-03-17 17:10:37,410 - INFO - Scraped 2 posts for keyword 'thẫm mỹ'
2025-03-17 17:10:47,262 - INFO - Ads Scraped
2025-03-17 17:10:47,357 - INFO - Ads Scraped
2025-03-17 17:10:51,323 - INFO - Scraped 2 posts for keyword 'nha khoa'
2025-03-17 17:10:53,863 - INFO - Browser closed
2025-03-17 17:13:11,781 - INFO - Ads scraper initialized
2025-03-17 17:13:23,940 - INFO - Browser closed
2025-03-17 17:13:44,707 - INFO - Ads scraper initialized
2025-03-17 17:13:57,041 - INFO - Ads Scraped
2025-03-17 17:13:57,114 - INFO - Ads Scraped
2025-03-17 17:14:00,909 - INFO - Scraped 2 posts for keyword 'thẫm mỹ'
2025-03-17 17:14:03,345 - INFO - Browser closed
2025-03-17 17:15:04,623 - INFO - Ads scraper initialized
2025-03-17 17:15:20,287 - INFO - Browser closed
2025-03-17 17:15:45,396 - INFO - Ads scraper initialized
2025-03-17 17:15:58,266 - INFO - Browser closed
2025-03-17 17:17:46,399 - INFO - Ads scraper initialized
2025-03-17 17:17:58,274 - INFO - Ads Scraped
2025-03-17 17:17:58,336 - INFO - Ads Scraped
2025-03-17 17:18:01,628 - INFO - Scraped 2 posts for keyword 'thẫm mỹ'
2025-03-17 17:18:04,117 - INFO - Browser closed
2025-03-17 17:18:39,986 - INFO - Ads scraper initialized
2025-03-17 17:18:51,427 - INFO - Ads Scraped
2025-03-17 17:18:51,511 - INFO - Ads Scraped
2025-03-17 17:18:56,505 - INFO - Scraped 2 posts for keyword 'thẫm mỹ'
2025-03-17 17:18:58,983 - INFO - Browser closed
2025-03-17 17:19:13,694 - INFO - Ads scraper initialized
2025-03-17 17:19:29,701 - INFO - Ads Scraped
2025-03-17 17:19:29,778 - INFO - Ads Scraped
2025-03-17 17:19:34,647 - INFO - Scraped 2 posts for keyword 'thẫm mỹ'
2025-03-17 17:19:37,095 - INFO - Browser closed
2025-03-17 17:20:26,212 - INFO - Ads scraper initialized
2025-03-17 17:20:41,666 - INFO - Ads Scraped
2025-03-17 17:20:41,732 - INFO - Ads Scraped
2025-03-17 17:20:45,582 - INFO - Scraped 2 posts for keyword 'thẫm mỹ'
2025-03-17 17:20:45,792 - INFO - Data saved to ads_posts.xlsx
2025-03-17 17:20:48,018 - INFO - Browser closed
